"Darkstar Extensions","Iods Extensions"
"Core","Core"

"Shop Version", "Shop Version"
"ver. %1", "ver. %1"
"Application Mode", "Application Mode"

"General Configuration","General Configuration"
"Configuration","Configuration"
"Information","Information"

"Enable Developer Menu","Enable Developer Menu"
"If enabled, the Iods Developer menu will be displayed on the admin main navigation. All eligible Iods module menus will be displayed there.","If enabled, the Iods Developer menu will be displayed on the admin main navigation. All eligible Iods module menus will be displayed there."
